FACILITY_ID,ACCOUNT_ID,FACILITY_NAME,FACILITY_TYPE,STATUS,ACTIVATION_DATE,CONSTRUCTION_DATE,CLOSURE_DATE,DESTRUCTION_DATE,INACTIVE_DATE,CREATED_AT,UPDATED_AT
994b7a56-7404-3590-18a6-1865cafedacf,0822e8f3-6c03-1199-972a-846916419f82,Hants Layer Barn 1,Layer,Active,2017-10-16,2016-10-10,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
64d8f363-6f1f-16f1-f362-b708c15c71bf,6142ea7d-17be-3111-1a2a-73ed562b0f79,Colchester Other Barn 1,Other,Closed,2020-09-30,2020-07-03,2026-02-22,,2026-02-22,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
d5a25c02-832e-a288-291e-1aa618829eed,19db3ad0-ddd1-dfb2-3b98-2ef8daf61a26,LaHave Pullet Barn 1,Pullet,Active,2021-05-20,2021-01-15,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
10439bde-607e-2b46-2e8d-0bb3933d9d81,d261a7ab-3aa2-e4f9-0e51-f30dc6a7ee39,Digby Other Barn 1,Other,Active,2019-12-01,2018-12-10,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
ba711a18-5e38-a9ff-44a3-f94497668966,d261a7ab-3aa2-e4f9-0e51-f30dc6a7ee39,Digby Pullet Barn 2,Pullet,Active,2023-07-04,2022-06-30,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
6f1a311e-b715-e9a1-5c8f-fa6ef489e08b,5cabcc97-663f-1c97-9562-69f0e5d7b875,Kings Other Barn 1,Other,Active,2018-03-02,2017-05-04,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
890221e8-b0a8-4cd0-1be3-8ac14eb9d5a9,5715bd6f-a416-1293-c4c2-e2e3444ea7c8,Sunnybrook Other Barn 1,Other,Active,2016-12-03,2016-02-21,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
bc0e2336-2043-c517-1fd3-6c9bd3fdc924,5715bd6f-a416-1293-c4c2-e2e3444ea7c8,Sunnybrook Other Barn 2,Other,Active,2025-03-04,2024-07-15,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
62b65955-f342-2348-db72-357d570afd2a,52fbe43b-9954-6eb4-0025-7ad1eb2263dd,Hants Other Barn 1,Other,Inactive,2019-08-18,2019-06-02,2026-04-21,,2026-04-21,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
67495073-935c-8b9f-ef69-ad42af5f3eed,847fd9b4-e64d-1bcb-7027-53a15f987c71,Sunnybrook Other Barn 1,Other,Inactive,2023-04-15,2022-04-16,2026-05-24,,2026-05-24,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
ab6e5537-0d14-b80c-f70a-1cd8bcd71085,7900f7f9-9382-9b43-922f-e15ae1e3db63,Sunnybrook Layer Barn 1,Layer,Active,2016-08-15,2016-01-15,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
0f898879-3990-af27-639f-6342fd55ce5f,7900f7f9-9382-9b43-922f-e15ae1e3db63,Sunnybrook Pullet Barn 2,Pullet,Active,2021-09-22,2020-11-10,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
94355527-1c8d-abd5-f37c-9b478167d3bf,7900f7f9-9382-9b43-922f-e15ae1e3db63,Sunnybrook Pullet Barn 3,Pullet,Active,2024-07-09,2023-12-28,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
b30207e3-1bc0-4c84-0190-cbe83fcb670d,23e2fcb4-72d8-567d-894a-05e430b187ef,Pictou Pullet Barn 1,Pullet,Inactive,2020-07-25,2020-03-24,2026-06-13,,2026-06-13,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
03c5d1dd-1b02-24af-6cd3-2f2c60719930,fc3d3348-008d-4127-6104-61e32a25a888,Queens Other Barn 1,Other,Active,2020-12-09,2020-04-01,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
331f09e7-3e17-077c-b14c-1dbe26c26109,fc3d3348-008d-4127-6104-61e32a25a888,Queens Pullet Barn 2,Pullet,Active,2021-11-30,2021-09-09,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
12d48c0c-cb59-c491-a5c3-8d2ed65371ec,fc3d3348-008d-4127-6104-61e32a25a888,Queens Pullet Barn 3,Pullet,Inactive,2022-08-04,2021-12-14,2026-04-14,,2026-04-14,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
ab1fc650-91ca-33aa-493b-c738267bdc9c,3c365296-dca0-2eec-acda-bacc1165e210,Bras Layer Barn 1,Layer,Active,2023-02-04,2022-07-06,,,,2026-09-10 10:37:54.211657,2026-09-10 10:37:54.211657
