ACCOUNT_ID,REGISTRATION_NUMBER,ORGANIZATION_NAME,CITY,PROVINCE,CONTACT_EMAIL,PRODUCER_ROLE,STATUS
DEV_MIGRATION_A_00001,DM-A-00001,Fictional Migration Producer 001,Synthetic City 01,NS,producer001@example.invalid,True,Active
DEV_MIGRATION_A_00002,DM-A-00002,Fictional Migration Producer 002,Synthetic City 02,NS,producer002@example.invalid,True,Active
DEV_MIGRATION_A_00003,DM-A-00003,Fictional Migration Producer 003,Synthetic City 03,NS,producer003@example.invalid,True,Active
DEV_MIGRATION_A_00004,DM-A-00004,Fictional Migration Producer 004,Synthetic City 04,NS,producer004@example.invalid,True,Active
DEV_MIGRATION_A_00005,DM-A-00005,Fictional Migration Producer 005,Synthetic City 05,NS,producer005@example.invalid,True,Active
DEV_MIGRATION_A_00006,DM-A-00006,Fictional Migration Producer 006,Synthetic City 06,NS,producer006@example.invalid,True,Active
DEV_MIGRATION_A_00007,DM-A-00007,Fictional Migration Producer 007,Synthetic City 07,NS,producer007@example.invalid,True,Active
DEV_MIGRATION_A_00008,DM-A-00008,Fictional Migration Producer 008,Synthetic City 08,NS,producer008@example.invalid,True,Active
DEV_MIGRATION_A_00009,DM-A-00009,Fictional Migration Producer 009,Synthetic City 09,NS,producer009@example.invalid,True,Active
DEV_MIGRATION_A_00010,DM-A-00010,Fictional Migration Producer 010,Synthetic City 10,NS,producer010@example.invalid,True,Active
DEV_MIGRATION_A_00011,DM-A-00011,Fictional Migration Producer 011,Synthetic City 01,NS,producer011@example.invalid,True,Active
DEV_MIGRATION_A_00012,DM-A-00012,Fictional Migration Producer 012,Synthetic City 02,NS,producer012@example.invalid,True,Active
DEV_MIGRATION_A_00013,DM-A-00013,Fictional Migration Producer 013,Synthetic City 03,NS,producer013@example.invalid,True,Active
DEV_MIGRATION_A_00014,DM-A-00014,Fictional Migration Producer 014,Synthetic City 04,NS,producer014@example.invalid,True,Active
