FACILITY_ID,ACCOUNT_ID,FACILITY_NAME,FACILITY_TYPE,STATUS,ACTIVATION_DATE
DEV_MIGRATION_F_00001,DEV_MIGRATION_A_00001,Synthetic Facility 001,Layer,Active,2020-01-01
DEV_MIGRATION_F_00002,DEV_MIGRATION_A_00001,Synthetic Facility 002,Layer,Active,2020-02-01
DEV_MIGRATION_F_00003,DEV_MIGRATION_A_00002,Synthetic Facility 003,Layer,Active,2020-03-01
DEV_MIGRATION_F_00004,DEV_MIGRATION_A_00002,Synthetic Facility 004,Layer,Active,2020-04-01
DEV_MIGRATION_F_00005,DEV_MIGRATION_A_00003,Synthetic Facility 005,Layer,Active,2020-05-01
DEV_MIGRATION_F_00006,DEV_MIGRATION_A_00003,Synthetic Facility 006,Layer,Active,2020-06-01
DEV_MIGRATION_F_00007,DEV_MIGRATION_A_00004,Synthetic Facility 007,Layer,Active,2020-07-01
DEV_MIGRATION_F_00008,DEV_MIGRATION_A_00004,Synthetic Facility 008,Layer,Active,2020-08-01
DEV_MIGRATION_F_00009,DEV_MIGRATION_A_00005,Synthetic Facility 009,Layer,Active,2020-09-01
DEV_MIGRATION_F_00010,DEV_MIGRATION_A_00005,Synthetic Facility 010,Layer,Active,2020-10-01
DEV_MIGRATION_F_00011,DEV_MIGRATION_A_00006,Synthetic Facility 011,Layer,Active,2020-11-01
DEV_MIGRATION_F_00012,DEV_MIGRATION_A_00006,Synthetic Facility 012,Layer,Active,2020-12-01
DEV_MIGRATION_F_00013,DEV_MIGRATION_A_00007,Synthetic Facility 013,Layer,Active,2020-01-01
DEV_MIGRATION_F_00014,DEV_MIGRATION_A_00007,Synthetic Facility 014,Layer,Active,2020-02-01
DEV_MIGRATION_F_00015,DEV_MIGRATION_A_00008,Synthetic Facility 015,Layer,Active,2020-03-01
DEV_MIGRATION_F_00016,DEV_MIGRATION_A_00008,Synthetic Facility 016,Layer,Active,2020-04-01
DEV_MIGRATION_F_00017,DEV_MIGRATION_A_00009,Synthetic Facility 017,Layer,Active,2020-05-01
DEV_MIGRATION_F_00018,DEV_MIGRATION_A_00009,Synthetic Facility 018,Layer,Active,2020-06-01
DEV_MIGRATION_F_00019,DEV_MIGRATION_A_00010,Synthetic Facility 019,Layer,Active,2020-07-01
DEV_MIGRATION_F_00020,DEV_MIGRATION_A_00010,Synthetic Facility 020,Layer,Active,2020-08-01
DEV_MIGRATION_F_00021,DEV_MIGRATION_A_00011,Synthetic Facility 021,Layer,Active,2020-09-01
DEV_MIGRATION_F_00022,DEV_MIGRATION_A_00011,Synthetic Facility 022,Layer,Active,2020-10-01
DEV_MIGRATION_F_00023,DEV_MIGRATION_A_00012,Synthetic Facility 023,Layer,Active,2020-11-01
DEV_MIGRATION_F_00024,DEV_MIGRATION_A_00012,Synthetic Facility 024,Layer,Active,2020-12-01
DEV_MIGRATION_F_00025,DEV_MIGRATION_A_00013,Synthetic Facility 025,Layer,Active,2020-01-01
DEV_MIGRATION_F_00026,DEV_MIGRATION_A_00013,Synthetic Facility 026,Layer,Active,2020-02-01
DEV_MIGRATION_F_00027,DEV_MIGRATION_A_00014,Synthetic Facility 027,Layer,Active,2020-03-01
DEV_MIGRATION_F_00028,DEV_MIGRATION_A_00014,Synthetic Facility 028,Layer,Active,2020-04-01
DEV_MIGRATION_F_00029,DEV_MIGRATION_A_00015,Synthetic Facility 029,Layer,Active,2020-05-01
DEV_MIGRATION_F_00030,DEV_MIGRATION_A_00015,Synthetic Facility 030,Layer,Active,2020-06-01
DEV_MIGRATION_F_00031,DEV_MIGRATION_A_00016,Synthetic Facility 031,Layer,Active,2020-07-01
DEV_MIGRATION_F_00032,DEV_MIGRATION_A_00016,Synthetic Facility 032,Layer,Active,2020-08-01
DEV_MIGRATION_F_00033,DEV_MIGRATION_A_00017,Synthetic Facility 033,Layer,Active,2020-09-01
DEV_MIGRATION_F_00034,DEV_MIGRATION_A_00017,Synthetic Facility 034,Layer,Active,2020-10-01
DEV_MIGRATION_F_00035,DEV_MIGRATION_A_00018,Synthetic Facility 035,Layer,Active,2020-11-01
DEV_MIGRATION_F_00036,DEV_MIGRATION_A_00018,Synthetic Facility 036,Layer,Active,2020-12-01
DEV_MIGRATION_F_00037,DEV_MIGRATION_A_00019,Synthetic Facility 037,Layer,Active,2020-01-01
DEV_MIGRATION_F_00038,DEV_MIGRATION_A_00019,Synthetic Facility 038,Layer,Active,2020-02-01
DEV_MIGRATION_F_00039,DEV_MIGRATION_A_00020,Synthetic Facility 039,Layer,Active,2020-03-01
DEV_MIGRATION_F_00040,DEV_MIGRATION_A_00020,Synthetic Facility 040,Layer,Active,2020-04-01
DEV_MIGRATION_F_00041,DEV_MIGRATION_A_00021,Synthetic Facility 041,Layer,Active,2020-05-01
