FACILITY_DETAIL_ID,FACILITY_ID,DETAIL_NAME,DETAIL_TYPE,STATUS,COMMENTS
DEV_MIGRATION_D_00001,DEV_MIGRATION_F_00001,Synthetic Barn 001,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00002,DEV_MIGRATION_F_00002,Synthetic Barn 002,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00003,DEV_MIGRATION_F_00003,Synthetic Barn 003,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00004,DEV_MIGRATION_F_00004,Synthetic Barn 004,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00005,DEV_MIGRATION_F_00005,Synthetic Barn 005,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00006,DEV_MIGRATION_F_00006,Synthetic Barn 006,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00007,DEV_MIGRATION_F_00007,Synthetic Barn 007,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00008,DEV_MIGRATION_F_00008,Synthetic Barn 008,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00009,DEV_MIGRATION_F_00009,Synthetic Barn 009,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00010,DEV_MIGRATION_F_00010,Synthetic Barn 010,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00011,DEV_MIGRATION_F_00011,Synthetic Barn 011,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00012,DEV_MIGRATION_F_00012,Synthetic Barn 012,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00013,DEV_MIGRATION_F_00013,Synthetic Barn 013,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00014,DEV_MIGRATION_F_00014,Synthetic Barn 014,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00015,DEV_MIGRATION_F_00015,Synthetic Barn 015,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00016,DEV_MIGRATION_F_00016,Synthetic Barn 016,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00017,DEV_MIGRATION_F_00017,Synthetic Barn 017,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00018,DEV_MIGRATION_F_00018,Synthetic Barn 018,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00019,DEV_MIGRATION_F_00019,Synthetic Barn 019,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00020,DEV_MIGRATION_F_00020,Synthetic Barn 020,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00021,DEV_MIGRATION_F_00021,Synthetic Barn 021,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00022,DEV_MIGRATION_F_00022,Synthetic Barn 022,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00023,DEV_MIGRATION_F_00023,Synthetic Barn 023,Barn,Active,Fully fictional migration fixture.
DEV_MIGRATION_D_00024,DEV_MIGRATION_F_00024,Synthetic Barn 024,Barn,Active,Fully fictional migration fixture.
