FARM_LOCATION_ID,ACCOUNT_ID,LOCATION_NAME,ADDRESS_1,ADDRESS_2,CITY,PROVINCE,POSTAL_CODE,PHONE,STATUS
DEV_MIGRATION_L_00001,DEV_MIGRATION_A_00001,Synthetic Farm Location 001,101 Fictional Migration Road,Synthetic Site 1,Synthetic City 01,NS,B0B 1A1,902-555-0001,Active
DEV_MIGRATION_L_00002,DEV_MIGRATION_A_00002,Synthetic Farm Location 002,102 Fictional Migration Road,Synthetic Site 2,Synthetic City 02,NS,B0B 1A2,902-555-0002,Active
DEV_MIGRATION_L_00003,DEV_MIGRATION_A_00003,Synthetic Farm Location 003,103 Fictional Migration Road,Synthetic Site 3,Synthetic City 03,NS,B0B 1A3,902-555-0003,Active
DEV_MIGRATION_L_00004,DEV_MIGRATION_A_00004,Synthetic Farm Location 004,104 Fictional Migration Road,,Synthetic City 04,NS,B0B 1A4,902-555-0004,Active
DEV_MIGRATION_L_00005,DEV_MIGRATION_A_00005,Synthetic Farm Location 005,105 Fictional Migration Road,Synthetic Site 5,Synthetic City 05,NS,B0B 1A5,902-555-0005,Active
DEV_MIGRATION_L_00006,DEV_MIGRATION_A_00006,Synthetic Farm Location 006,106 Fictional Migration Road,Synthetic Site 6,Synthetic City 06,NS,B0B 1A6,902-555-0006,Active
DEV_MIGRATION_L_00007,DEV_MIGRATION_A_00007,Synthetic Farm Location 007,107 Fictional Migration Road,Synthetic Site 7,Synthetic City 07,NS,B0B 1A7,902-555-0007,Active
DEV_MIGRATION_L_00008,DEV_MIGRATION_A_00008,Synthetic Farm Location 008,108 Fictional Migration Road,,Synthetic City 08,NS,B0B 1A8,902-555-0008,Active
DEV_MIGRATION_L_00009,DEV_MIGRATION_A_00009,Synthetic Farm Location 009,109 Fictional Migration Road,Synthetic Site 9,Synthetic City 09,NS,B0B 1A9,902-555-0009,Active
DEV_MIGRATION_L_00010,DEV_MIGRATION_A_00010,Synthetic Farm Location 010,110 Fictional Migration Road,Synthetic Site 1,Synthetic City 10,NS,B0B 1A0,902-555-0010,Inactive
DEV_MIGRATION_L_00011,DEV_MIGRATION_A_00011,Synthetic Farm Location 011,111 Fictional Migration Road,Synthetic Site 2,Synthetic City 01,NS,B0B 1A1,902-555-0011,Active
DEV_MIGRATION_L_00012,DEV_MIGRATION_A_00012,Synthetic Farm Location 012,112 Fictional Migration Road,,Synthetic City 02,NS,B0B 1A2,902-555-0012,Active
DEV_MIGRATION_L_00013,DEV_MIGRATION_A_00013,Synthetic Farm Location 013,113 Fictional Migration Road,Synthetic Site 4,Synthetic City 03,NS,B0B 1A3,902-555-0013,Active
DEV_MIGRATION_L_00014,DEV_MIGRATION_A_00014,Synthetic Farm Location 014,114 Fictional Migration Road,Synthetic Site 5,Synthetic City 04,NS,B0B 1A4,902-555-0014,Active
DEV_MIGRATION_L_00015,DEV_MIGRATION_A_00015,Synthetic Farm Location 015,115 Fictional Migration Road,Synthetic Site 6,Synthetic City 05,NS,B0B 1A5,902-555-0015,Active
DEV_MIGRATION_L_00016,DEV_MIGRATION_A_00016,Synthetic Farm Location 016,116 Fictional Migration Road,,Synthetic City 06,NS,B0B 1A6,902-555-0016,Active
DEV_MIGRATION_L_00017,DEV_MIGRATION_A_00017,Synthetic Farm Location 017,117 Fictional Migration Road,Synthetic Site 8,Synthetic City 07,NS,B0B 1A7,902-555-0017,Active
DEV_MIGRATION_L_00018,DEV_MIGRATION_A_00018,Synthetic Farm Location 018,118 Fictional Migration Road,Synthetic Site 9,Synthetic City 08,NS,B0B 1A8,902-555-0018,Active
DEV_MIGRATION_L_00019,DEV_MIGRATION_A_00019,Synthetic Farm Location 019,119 Fictional Migration Road,Synthetic Site 1,Synthetic City 09,NS,B0B 1A9,902-555-0019,Active
DEV_MIGRATION_L_00020,DEV_MIGRATION_A_00020,Synthetic Farm Location 020,120 Fictional Migration Road,,Synthetic City 10,NS,B0B 1A0,902-555-0020,Inactive
DEV_MIGRATION_L_00021,DEV_MIGRATION_A_00021,Synthetic Farm Location 021,121 Fictional Migration Road,Synthetic Site 3,Synthetic City 01,NS,B0B 1A1,902-555-0021,Active
DEV_MIGRATION_L_00022,DEV_MIGRATION_A_00022,Synthetic Farm Location 022,122 Fictional Migration Road,Synthetic Site 4,Synthetic City 02,NS,B0B 1A2,902-555-0022,Active
DEV_MIGRATION_L_00023,DEV_MIGRATION_A_00023,Synthetic Farm Location 023,123 Fictional Migration Road,Synthetic Site 5,Synthetic City 03,NS,B0B 1A3,902-555-0023,Active
DEV_MIGRATION_L_00024,DEV_MIGRATION_A_00024,Synthetic Farm Location 024,124 Fictional Migration Road,,Synthetic City 04,NS,B0B 1A4,902-555-0024,Active
