FLOCK_TRANSACTION_ID,FLOCK_ID,TRANSACTION_TYPE,QUANTITY,TRANSACTION_DATE,NOTES
DEV_MIGRATION_FT_00001,DEV_MIGRATION_FL_00001,Count,101,2025-01-01,Fictional transaction fixture.
DEV_MIGRATION_FT_00002,DEV_MIGRATION_FL_00001,Delivery,102,2025-02-02,Fictional transaction fixture.
DEV_MIGRATION_FT_00003,DEV_MIGRATION_FL_00001,Removal,103,2025-03-03,Fictional transaction fixture.
DEV_MIGRATION_FT_00004,DEV_MIGRATION_FL_00001,Sale,104,2025-04-04,Fictional transaction fixture.
DEV_MIGRATION_FT_00005,DEV_MIGRATION_FL_00002,Count,105,2025-05-05,Fictional transaction fixture.
DEV_MIGRATION_FT_00006,DEV_MIGRATION_FL_00002,Delivery,106,2025-06-06,Fictional transaction fixture.
DEV_MIGRATION_FT_00007,DEV_MIGRATION_FL_00002,Removal,107,2025-07-07,Fictional transaction fixture.
DEV_MIGRATION_FT_00008,DEV_MIGRATION_FL_00002,Sale,108,2025-08-08,Fictional transaction fixture.
DEV_MIGRATION_FT_00009,DEV_MIGRATION_FL_00003,Count,109,2025-09-09,Fictional transaction fixture.
DEV_MIGRATION_FT_00010,DEV_MIGRATION_FL_00003,Delivery,110,2025-10-10,Fictional transaction fixture.
DEV_MIGRATION_FT_00011,DEV_MIGRATION_FL_00003,Removal,111,2025-11-11,Fictional transaction fixture.
DEV_MIGRATION_FT_00012,DEV_MIGRATION_FL_00003,Sale,112,2025-12-12,Fictional transaction fixture.
DEV_MIGRATION_FT_00013,DEV_MIGRATION_FL_00004,Count,113,2025-01-13,Fictional transaction fixture.
DEV_MIGRATION_FT_00014,DEV_MIGRATION_FL_00004,Delivery,114,2025-02-14,Fictional transaction fixture.
DEV_MIGRATION_FT_00015,DEV_MIGRATION_FL_00004,Removal,115,2025-03-15,Fictional transaction fixture.
DEV_MIGRATION_FT_00016,DEV_MIGRATION_FL_00004,Sale,116,2025-04-16,Fictional transaction fixture.
DEV_MIGRATION_FT_00017,DEV_MIGRATION_FL_00005,Count,117,2025-05-17,Fictional transaction fixture.
DEV_MIGRATION_FT_00018,DEV_MIGRATION_FL_00005,Delivery,118,2025-06-18,Fictional transaction fixture.
DEV_MIGRATION_FT_00019,DEV_MIGRATION_FL_00005,Removal,119,2025-07-19,Fictional transaction fixture.
DEV_MIGRATION_FT_00020,DEV_MIGRATION_FL_00005,Sale,120,2025-08-20,Fictional transaction fixture.
DEV_MIGRATION_FT_00021,DEV_MIGRATION_FL_00006,Count,121,2025-09-21,Fictional transaction fixture.
DEV_MIGRATION_FT_00022,DEV_MIGRATION_FL_00006,Delivery,122,2025-10-22,Fictional transaction fixture.
DEV_MIGRATION_FT_00023,DEV_MIGRATION_FL_00006,Removal,123,2025-11-23,Fictional transaction fixture.
DEV_MIGRATION_FT_00024,DEV_MIGRATION_FL_00006,Sale,124,2025-12-24,Fictional transaction fixture.
DEV_MIGRATION_FT_00025,DEV_MIGRATION_FL_00007,Count,100,2025-01-25,Fictional transaction fixture.
DEV_MIGRATION_FT_00026,DEV_MIGRATION_FL_00007,Delivery,101,2025-02-26,Fictional transaction fixture.
DEV_MIGRATION_FT_00027,DEV_MIGRATION_FL_00007,Removal,102,2025-03-27,Fictional transaction fixture.
DEV_MIGRATION_FT_00028,DEV_MIGRATION_FL_00007,Sale,103,2025-04-28,Fictional transaction fixture.
DEV_MIGRATION_FT_00029,DEV_MIGRATION_FL_00008,Count,104,2025-05-01,Fictional transaction fixture.
