FLOCK_ID,FLOCK_NUMBER,ACCOUNT_ID,FACILITY_ID,FACILITY_DETAIL_ID,QUOTA_ID,FLOCK_QUOTA_TYPE,STATUS,PERMIT_NUMBER,PERMIT_DATE,HATCH_DATE,DATE_ORDERED,BIRD_COUNT,EGG_COLOUR,PLACEMENT_DATE,EST_DISPOSAL,DISPOSAL_DATE,BIRDS_DISPOSED,COMMENTS
DEV_MIGRATION_FL_00001,DM-FLOCK-00001,DEV_MIGRATION_A_00001,DEV_MIGRATION_F_00001,DEV_MIGRATION_D_00001,DEV_MIGRATION_Q_00001,Egg Production,Active,DM-PERMIT-00001,2025-01-01,2025-01-15,2024-12-01,1001,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00002,DM-FLOCK-00002,DEV_MIGRATION_A_00001,DEV_MIGRATION_F_00002,DEV_MIGRATION_D_00102,DEV_MIGRATION_Q_00002,Egg Production,Active,DM-PERMIT-00002,2025-01-01,2025-01-15,2024-12-01,1002,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00003,DM-FLOCK-00003,DEV_MIGRATION_A_00001,DEV_MIGRATION_F_00001,DEV_MIGRATION_D_00001,DEV_MIGRATION_Q_00001,Egg Production,Active,DM-PERMIT-00003,2025-01-01,2025-01-15,2024-12-01,1003,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00004,DM-FLOCK-00004,DEV_MIGRATION_A_00001,DEV_MIGRATION_F_00002,DEV_MIGRATION_D_00102,DEV_MIGRATION_Q_00002,Egg Production,Active,DM-PERMIT-00004,2025-01-01,2025-01-15,2024-12-01,1004,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00005,DM-FLOCK-00005,DEV_MIGRATION_A_00001,DEV_MIGRATION_F_00001,DEV_MIGRATION_D_00001,DEV_MIGRATION_Q_00001,Egg Production,Active,DM-PERMIT-00005,2025-01-01,2025-01-15,2024-12-01,1005,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00006,DM-FLOCK-00006,DEV_MIGRATION_A_00001,DEV_MIGRATION_F_00002,DEV_MIGRATION_D_00102,DEV_MIGRATION_Q_00002,Egg Production,Active,DM-PERMIT-00006,2025-01-01,2025-01-15,2024-12-01,1006,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00007,DM-FLOCK-00007,DEV_MIGRATION_A_00001,DEV_MIGRATION_F_00001,DEV_MIGRATION_D_00001,DEV_MIGRATION_Q_00001,Egg Production,Active,DM-PERMIT-00007,2025-01-01,2025-01-15,2024-12-01,1007,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00008,DM-FLOCK-00008,DEV_MIGRATION_A_00001,DEV_MIGRATION_F_00002,DEV_MIGRATION_D_00102,DEV_MIGRATION_Q_00002,Egg Production,Active,DM-PERMIT-00008,2025-01-01,2025-01-15,2024-12-01,1008,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00009,DM-FLOCK-00009,DEV_MIGRATION_A_00001,DEV_MIGRATION_F_00001,DEV_MIGRATION_D_00001,DEV_MIGRATION_Q_00001,Egg Production,Active,DM-PERMIT-00009,2025-01-01,2025-01-15,2024-12-01,1009,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00010,DM-FLOCK-00010,DEV_MIGRATION_A_00001,DEV_MIGRATION_F_00002,DEV_MIGRATION_D_00102,DEV_MIGRATION_Q_00002,Egg Production,Active,DM-PERMIT-00010,2025-01-01,2025-01-15,2024-12-01,1010,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00011,DM-FLOCK-00011,DEV_MIGRATION_A_00002,DEV_MIGRATION_F_00003,DEV_MIGRATION_D_00003,DEV_MIGRATION_Q_00003,Egg Production,Active,DM-PERMIT-00011,2025-01-01,2025-01-15,2024-12-01,1011,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00012,DM-FLOCK-00012,DEV_MIGRATION_A_00002,DEV_MIGRATION_F_00004,DEV_MIGRATION_D_00104,DEV_MIGRATION_Q_00004,Egg Production,Active,DM-PERMIT-00012,2025-01-01,2025-01-15,2024-12-01,1012,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00013,DM-FLOCK-00013,DEV_MIGRATION_A_00002,DEV_MIGRATION_F_00003,DEV_MIGRATION_D_00003,DEV_MIGRATION_Q_00003,Egg Production,Active,DM-PERMIT-00013,2025-01-01,2025-01-15,2024-12-01,1013,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00014,DM-FLOCK-00014,DEV_MIGRATION_A_00002,DEV_MIGRATION_F_00004,DEV_MIGRATION_D_00104,DEV_MIGRATION_Q_00004,Egg Production,Active,DM-PERMIT-00014,2025-01-01,2025-01-15,2024-12-01,1014,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00015,DM-FLOCK-00015,DEV_MIGRATION_A_00002,DEV_MIGRATION_F_00003,DEV_MIGRATION_D_00003,DEV_MIGRATION_Q_00003,Egg Production,Active,DM-PERMIT-00015,2025-01-01,2025-01-15,2024-12-01,1015,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00016,DM-FLOCK-00016,DEV_MIGRATION_A_00002,DEV_MIGRATION_F_00004,DEV_MIGRATION_D_00104,DEV_MIGRATION_Q_00004,Egg Production,Active,DM-PERMIT-00016,2025-01-01,2025-01-15,2024-12-01,1016,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00017,DM-FLOCK-00017,DEV_MIGRATION_A_00002,DEV_MIGRATION_F_00003,DEV_MIGRATION_D_00003,DEV_MIGRATION_Q_00003,Egg Production,Active,DM-PERMIT-00017,2025-01-01,2025-01-15,2024-12-01,1017,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00018,DM-FLOCK-00018,DEV_MIGRATION_A_00002,DEV_MIGRATION_F_00004,DEV_MIGRATION_D_00104,DEV_MIGRATION_Q_00004,Egg Production,Active,DM-PERMIT-00018,2025-01-01,2025-01-15,2024-12-01,1018,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00019,DM-FLOCK-00019,DEV_MIGRATION_A_00002,DEV_MIGRATION_F_00003,DEV_MIGRATION_D_00003,DEV_MIGRATION_Q_00003,Egg Production,Active,DM-PERMIT-00019,2025-01-01,2025-01-15,2024-12-01,1019,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00020,DM-FLOCK-00020,DEV_MIGRATION_A_00002,DEV_MIGRATION_F_00004,DEV_MIGRATION_D_00104,DEV_MIGRATION_Q_00004,Egg Production,Active,DM-PERMIT-00020,2025-01-01,2025-01-15,2024-12-01,1020,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00021,DM-FLOCK-00021,DEV_MIGRATION_A_00003,DEV_MIGRATION_F_00005,DEV_MIGRATION_D_00005,DEV_MIGRATION_Q_00005,Egg Production,Active,DM-PERMIT-00021,2025-01-01,2025-01-15,2024-12-01,1021,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00022,DM-FLOCK-00022,DEV_MIGRATION_A_00003,DEV_MIGRATION_F_00006,DEV_MIGRATION_D_00106,DEV_MIGRATION_Q_00006,Egg Production,Active,DM-PERMIT-00022,2025-01-01,2025-01-15,2024-12-01,1022,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00023,DM-FLOCK-00023,DEV_MIGRATION_A_00003,DEV_MIGRATION_F_00005,DEV_MIGRATION_D_00005,DEV_MIGRATION_Q_00005,Egg Production,Active,DM-PERMIT-00023,2025-01-01,2025-01-15,2024-12-01,1023,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00024,DM-FLOCK-00024,DEV_MIGRATION_A_00003,DEV_MIGRATION_F_00006,DEV_MIGRATION_D_00106,DEV_MIGRATION_Q_00006,Egg Production,Active,DM-PERMIT-00024,2025-01-01,2025-01-15,2024-12-01,1024,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00025,DM-FLOCK-00025,DEV_MIGRATION_A_00003,DEV_MIGRATION_F_00005,DEV_MIGRATION_D_00005,DEV_MIGRATION_Q_00005,Egg Production,Active,DM-PERMIT-00025,2025-01-01,2025-01-15,2024-12-01,1025,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00026,DM-FLOCK-00026,DEV_MIGRATION_A_00003,DEV_MIGRATION_F_00006,DEV_MIGRATION_D_00106,DEV_MIGRATION_Q_00006,Egg Production,Active,DM-PERMIT-00026,2025-01-01,2025-01-15,2024-12-01,1026,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00027,DM-FLOCK-00027,DEV_MIGRATION_A_00003,DEV_MIGRATION_F_00005,DEV_MIGRATION_D_00005,DEV_MIGRATION_Q_00005,Egg Production,Active,DM-PERMIT-00027,2025-01-01,2025-01-15,2024-12-01,1027,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00028,DM-FLOCK-00028,DEV_MIGRATION_A_00003,DEV_MIGRATION_F_00006,DEV_MIGRATION_D_00106,DEV_MIGRATION_Q_00006,Egg Production,Active,DM-PERMIT-00028,2025-01-01,2025-01-15,2024-12-01,1028,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00029,DM-FLOCK-00029,DEV_MIGRATION_A_00003,DEV_MIGRATION_F_00005,DEV_MIGRATION_D_00005,DEV_MIGRATION_Q_00005,Egg Production,Active,DM-PERMIT-00029,2025-01-01,2025-01-15,2024-12-01,1029,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00030,DM-FLOCK-00030,DEV_MIGRATION_A_00003,DEV_MIGRATION_F_00006,DEV_MIGRATION_D_00106,DEV_MIGRATION_Q_00006,Egg Production,Active,DM-PERMIT-00030,2025-01-01,2025-01-15,2024-12-01,1030,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00031,DM-FLOCK-00031,DEV_MIGRATION_A_00004,DEV_MIGRATION_F_00007,DEV_MIGRATION_D_00007,DEV_MIGRATION_Q_00007,Egg Production,Active,DM-PERMIT-00031,2025-01-01,2025-01-15,2024-12-01,1031,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00032,DM-FLOCK-00032,DEV_MIGRATION_A_00004,DEV_MIGRATION_F_00008,DEV_MIGRATION_D_00108,DEV_MIGRATION_Q_00008,Egg Production,Active,DM-PERMIT-00032,2025-01-01,2025-01-15,2024-12-01,1032,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00033,DM-FLOCK-00033,DEV_MIGRATION_A_00004,DEV_MIGRATION_F_00007,DEV_MIGRATION_D_00007,DEV_MIGRATION_Q_00007,Egg Production,Active,DM-PERMIT-00033,2025-01-01,2025-01-15,2024-12-01,1033,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00034,DM-FLOCK-00034,DEV_MIGRATION_A_00004,DEV_MIGRATION_F_00008,DEV_MIGRATION_D_00108,DEV_MIGRATION_Q_00008,Egg Production,Active,DM-PERMIT-00034,2025-01-01,2025-01-15,2024-12-01,1034,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00035,DM-FLOCK-00035,DEV_MIGRATION_A_00004,DEV_MIGRATION_F_00007,DEV_MIGRATION_D_00007,DEV_MIGRATION_Q_00007,Egg Production,Active,DM-PERMIT-00035,2025-01-01,2025-01-15,2024-12-01,1035,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00036,DM-FLOCK-00036,DEV_MIGRATION_A_00004,DEV_MIGRATION_F_00008,DEV_MIGRATION_D_00108,DEV_MIGRATION_Q_00008,Egg Production,Active,DM-PERMIT-00036,2025-01-01,2025-01-15,2024-12-01,1036,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00037,DM-FLOCK-00037,DEV_MIGRATION_A_00004,DEV_MIGRATION_F_00007,DEV_MIGRATION_D_00007,DEV_MIGRATION_Q_00007,Egg Production,Active,DM-PERMIT-00037,2025-01-01,2025-01-15,2024-12-01,1037,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00038,DM-FLOCK-00038,DEV_MIGRATION_A_00004,DEV_MIGRATION_F_00008,DEV_MIGRATION_D_00108,DEV_MIGRATION_Q_00008,Egg Production,Active,DM-PERMIT-00038,2025-01-01,2025-01-15,2024-12-01,1038,White,2025-02-01,2026-08-01,,0,Fictional flock fixture.
DEV_MIGRATION_FL_00039,DM-FLOCK-00039,DEV_MIGRATION_A_00004,DEV_MIGRATION_F_00007,DEV_MIGRATION_D_00007,DEV_MIGRATION_Q_00007,Egg Production,Active,DM-PERMIT-00039,2025-01-01,2025-01-15,2024-12-01,1039,Brown,2025-02-01,2026-08-01,,0,Fictional flock fixture.
