QUOTA_ID,REGISTRATION_NUMBER,ACCOUNT_ID,QUOTA_NAME,QUOTA_TYPE,STATUS,EFFECTIVE_DATE,END_DATE,COMMENTS
DEV_MIGRATION_Q_00001,DM-Q-00001,DEV_MIGRATION_A_00001,Synthetic Quota 001,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00002,DM-Q-00002,DEV_MIGRATION_A_00001,Synthetic Quota 002,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00003,DM-Q-00003,DEV_MIGRATION_A_00002,Synthetic Quota 003,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00004,DM-Q-00004,DEV_MIGRATION_A_00002,Synthetic Quota 004,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00005,DM-Q-00005,DEV_MIGRATION_A_00003,Synthetic Quota 005,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00006,DM-Q-00006,DEV_MIGRATION_A_00003,Synthetic Quota 006,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00007,DM-Q-00007,DEV_MIGRATION_A_00004,Synthetic Quota 007,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00008,DM-Q-00008,DEV_MIGRATION_A_00004,Synthetic Quota 008,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00009,DM-Q-00009,DEV_MIGRATION_A_00005,Synthetic Quota 009,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00010,DM-Q-00010,DEV_MIGRATION_A_00005,Synthetic Quota 010,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00011,DM-Q-00011,DEV_MIGRATION_A_00006,Synthetic Quota 011,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00012,DM-Q-00012,DEV_MIGRATION_A_00006,Synthetic Quota 012,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00013,DM-Q-00013,DEV_MIGRATION_A_00007,Synthetic Quota 013,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00014,DM-Q-00014,DEV_MIGRATION_A_00007,Synthetic Quota 014,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00015,DM-Q-00015,DEV_MIGRATION_A_00008,Synthetic Quota 015,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00016,DM-Q-00016,DEV_MIGRATION_A_00008,Synthetic Quota 016,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00017,DM-Q-00017,DEV_MIGRATION_A_00009,Synthetic Quota 017,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00018,DM-Q-00018,DEV_MIGRATION_A_00009,Synthetic Quota 018,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00019,DM-Q-00019,DEV_MIGRATION_A_00010,Synthetic Quota 019,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00020,DM-Q-00020,DEV_MIGRATION_A_00010,Synthetic Quota 020,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00021,DM-Q-00021,DEV_MIGRATION_A_00011,Synthetic Quota 021,Egg Production,Active,2024-01-01,,Fictional quota fixture.
DEV_MIGRATION_Q_00022,DM-Q-00022,DEV_MIGRATION_A_00011,Synthetic Quota 022,Egg Production,Active,2024-01-01,,Fictional quota fixture.
