QUOTA_TRANSACTION_ID,TRANSACTION_TYPE,QUOTA_ID,EFFECTIVE_DATE,END_DATE,QUOTA_COUNT,OWNER_ACCOUNT_ID,RELATED_ACCOUNT_ID,RELATED_QUOTA_ID,RELATED_TRANSACTION_ID,PRICE,QUOTA_LEASE_TYPE,COMMENTS
DEV_MIGRATION_QT_00001,Purchase,DEV_MIGRATION_Q_00001,2025-01-01,,101,DEV_MIGRATION_A_00001,DEV_MIGRATION_A_00002,,,"1,234.50",Fixed Term,Fictional quota activity.
DEV_MIGRATION_QT_00002,Sale,DEV_MIGRATION_Q_00001,2025-01-01,,102,DEV_MIGRATION_A_00001,DEV_MIGRATION_A_00003,,,"1,234.50",Fixed Term,Fictional quota activity.
DEV_MIGRATION_QT_00003,Lease In,DEV_MIGRATION_Q_00001,2025-01-01,,103,DEV_MIGRATION_A_00001,DEV_MIGRATION_A_00004,,,"1,234.50",Fixed Term,Fictional quota activity.
DEV_MIGRATION_QT_00004,Purchase,DEV_MIGRATION_Q_00002,2025-01-01,,104,DEV_MIGRATION_A_00001,DEV_MIGRATION_A_00005,,,"1,234.50",Fixed Term,Fictional quota activity.
DEV_MIGRATION_QT_00005,Sale,DEV_MIGRATION_Q_00002,2025-01-01,,105,DEV_MIGRATION_A_00001,DEV_MIGRATION_A_00006,,,"1,234.50",Fixed Term,Fictional quota activity.
DEV_MIGRATION_QT_00006,Lease In,DEV_MIGRATION_Q_00002,2025-01-01,,106,DEV_MIGRATION_A_00001,DEV_MIGRATION_A_00007,,,"1,234.50",Fixed Term,Fictional quota activity.
DEV_MIGRATION_QT_00007,Purchase,DEV_MIGRATION_Q_00003,2025-01-01,,107,DEV_MIGRATION_A_00002,DEV_MIGRATION_A_00008,,,"1,234.50",Fixed Term,Fictional quota activity.
DEV_MIGRATION_QT_00008,Sale,DEV_MIGRATION_Q_00003,2025-01-01,,108,DEV_MIGRATION_A_00002,DEV_MIGRATION_A_00009,,,"1,234.50",Fixed Term,Fictional quota activity.
DEV_MIGRATION_QT_00009,Lease In,DEV_MIGRATION_Q_00003,2025-01-01,,109,DEV_MIGRATION_A_00002,DEV_MIGRATION_A_00010,,,"1,234.50",Fixed Term,Fictional quota activity.
DEV_MIGRATION_QT_00010,Purchase,DEV_MIGRATION_Q_00004,2025-01-01,,110,DEV_MIGRATION_A_00002,DEV_MIGRATION_A_00011,,,"1,234.50",Fixed Term,Fictional quota activity.
