FLOCK_TRANSACTION_ID,FLOCK_ID,TRANSACTION_TYPE,QUANTITY,TRANSACTION_DATE,NOTES,CREATED_AT
14f60b7a-41f6-0be0-7cef-6aa36aedcf4a,12d465da-5bb8-8633-537c-9792ab8755c5,Removal,94,2025-03-17,Weekly count,2026-09-10 10:37:54.226764
cec2d5ef-48aa-69a3-1d66-08f702d34789,12d465da-5bb8-8633-537c-9792ab8755c5,Removal,1801,2026-02-23,,2026-09-10 10:37:54.226764
407a17c2-5217-39ea-2c16-0877083c2879,4a2a3e41-f835-9314-d263-3d6da014c5d4,Removal,242,2026-12-03,,2026-09-10 10:37:54.226764
0f5350fb-a9ca-0d27-97d9-38be4118a8cb,4a2a3e41-f835-9314-d263-3d6da014c5d4,Removal,1917,2026-08-22,Routine,2026-09-10 10:37:54.226764
04537ef1-c9e2-01c1-a058-3cb827ec9993,4a2a3e41-f835-9314-d263-3d6da014c5d4,Sale,1507,2027-03-22,Weekly count,2026-09-10 10:37:54.226764
4d0433b3-5178-7e46-49d8-bedac5888aed,4a2a3e41-f835-9314-d263-3d6da014c5d4,Delivery,70,2027-03-21,Routine,2026-09-10 10:37:54.226764
33531265-706a-966b-7476-0fd747426582,feb9a31c-af0a-96c8-bc93-5110cb477e85,Removal,546,2025-07-29,Partial removal,2026-09-10 10:37:54.226764
7e68e3fa-399e-70e1-a9cb-b433f40bbc3d,feb9a31c-af0a-96c8-bc93-5110cb477e85,Delivery,96,2025-07-04,Routine,2026-09-10 10:37:54.226764
e4ee3fee-1023-a0fe-c8fa-bc4136e35e78,feb9a31c-af0a-96c8-bc93-5110cb477e85,Count,1468,2024-11-08,Weekly count,2026-09-10 10:37:54.226764
d55a717f-a650-e61d-638e-6a82e67f5343,5c66c458-1c8c-857b-678f-5a8532f4bdb0,Sale,1619,2027-03-10,Weekly count,2026-09-10 10:37:54.226764
e208dc4b-8688-9907-b5b9-453229b11f8c,5c66c458-1c8c-857b-678f-5a8532f4bdb0,Count,707,2027-06-15,Weekly count,2026-09-10 10:37:54.226764
9728bedd-69a7-4d9b-ae60-b18f00478325,5c66c458-1c8c-857b-678f-5a8532f4bdb0,Sale,1384,2027-06-13,,2026-09-10 10:37:54.226764
a70c591d-91f6-7ebe-5ecd-4be9c9883fe7,5c66c458-1c8c-857b-678f-5a8532f4bdb0,Removal,1978,2027-04-04,Partial removal,2026-09-10 10:37:54.226764
0b23acb0-90d3-c953-60ba-1eb8e638d28a,a5336e83-ebc9-d083-4b2f-d3fba64108e7,Delivery,1754,2025-02-22,,2026-09-10 10:37:54.226764
b223072f-f421-3d80-5cd7-796f1552406a,a5336e83-ebc9-d083-4b2f-d3fba64108e7,Count,1765,2025-05-21,,2026-09-10 10:37:54.226764
