FLOCK_ID,ACCOUNT_ID,FACILITY_ID,FLOCK_NUMBER,LICENCE_NUMBER,BIRD_COUNT,PLACEMENT_DATE,HATCH_DATE,EGG_COLOUR,EST_PROD_COMPLETION,EST_DISPOSAL,ACTUAL_DISPOSAL,DISPOSAL_METHOD,STATUS,CREATED_AT,UPDATED_AT
12d465da-5bb8-8633-537c-9792ab8755c5,0822e8f3-6c03-1199-972a-846916419f82,994b7a56-7404-3590-18a6-1865cafedacf,F-0001,LIC-95181,9788,2025-02-07,2025-02-03,Mostly White,2026-06-19,2026-07-08,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
4a2a3e41-f835-9314-d263-3d6da014c5d4,0822e8f3-6c03-1199-972a-846916419f82,994b7a56-7404-3590-18a6-1865cafedacf,F-0002,LIC-95181,6295,2026-05-06,2026-04-19,Mostly White,2027-11-07,2027-11-19,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
0c98ae86-c6cc-ac69-3f7a-9c53bf4302b2,6142ea7d-17be-3111-1a2a-73ed562b0f79,64d8f363-6f1f-16f1-f362-b708c15c71bf,F-0003,LIC-59615,10179,2025-04-18,2025-04-11,Mostly Brown,2026-06-25,2026-07-17,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
feb9a31c-af0a-96c8-bc93-5110cb477e85,19db3ad0-ddd1-dfb2-3b98-2ef8daf61a26,d5a25c02-832e-a288-291e-1aa618829eed,F-0004,LIC-99593,14769,2024-09-01,2024-08-11,White,2026-01-08,2026-01-16,2026-01-13,Cull,Depopulated,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
5c66c458-1c8c-857b-678f-5a8532f4bdb0,d261a7ab-3aa2-e4f9-0e51-f30dc6a7ee39,10439bde-607e-2b46-2e8d-0bb3933d9d81,F-0005,LIC-37869,23786,2026-08-16,2026-07-28,White,2028-02-09,2028-03-06,,,Planned,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
a5336e83-ebc9-d083-4b2f-d3fba64108e7,5cabcc97-663f-1c97-9562-69f0e5d7b875,6f1a311e-b715-e9a1-5c8f-fa6ef489e08b,F-0006,LIC-99192,18196,2024-08-10,2024-08-08,Mostly White,2025-09-26,2025-09-28,,,Planned,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
d4a7163b-faa2-ac82-d733-291edba947cb,5715bd6f-a416-1293-c4c2-e2e3444ea7c8,bc0e2336-2043-c517-1fd3-6c9bd3fdc924,F-0007,LIC-76542,21160,2025-11-10,2025-11-04,Mostly White,2027-05-24,2027-06-08,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
4cc4e40a-7dbb-32c5-48bd-4f5f10befe33,52fbe43b-9954-6eb4-0025-7ad1eb2263dd,62b65955-f342-2348-db72-357d570afd2a,F-0008,LIC-21226,14810,2025-03-25,2025-03-05,Mostly Brown,2026-09-15,2026-09-24,2026-10-15,Compost,Depopulated,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
158fea2b-7187-4113-e976-6981585f0b27,52fbe43b-9954-6eb4-0025-7ad1eb2263dd,62b65955-f342-2348-db72-357d570afd2a,F-0009,LIC-21226,8315,2025-09-29,2025-09-20,Brown,2026-12-06,2026-12-14,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
811f16c8-12b0-ca82-7cdb-6b4f8f5fda65,847fd9b4-e64d-1bcb-7027-53a15f987c71,67495073-935c-8b9f-ef69-ad42af5f3eed,F-0010,LIC-87128,11966,2025-03-26,2025-03-14,Mostly Brown,2026-05-08,2026-05-30,,,Active,2026-09-10 10:37:54.225098,2026-09-10 10:37:54.225098
