PRODUCTION_ID,IMPORT_ID,FLOCK_ID,GRADER_NUMBER,BARN_IDENTITY,FLOCK_AGE,EGG_COLOUR,NET_WEIGHT,NET_BOXES,NET_PER_BOX,TOTAL_RECEIVED,REJECTED,LOSS,LEGACY_REJECT_LOSS_TOTAL,TOTAL_ACCEPTED,REPORTING_YEAR,REPORTING_WEEK,CREATED_AT
cd6a4292-f27b-aaf9-89bc-15a5956f5c71,,12d465da-5bb8-8633-537c-9792ab8755c5,G-102,Barn-F6,24,White,2079.98,145.95,14.25,145.95,0.91,1.55,,143.49,2026,5,2026-09-10 10:37:54.228745
78815491-27f6-e649-5c41-c3db7a8efdeb,,0c98ae86-c6cc-ac69-3f7a-9c53bf4302b2,G-114,Barn-B4,46,Mostly White,2555.73,93.16,27.43,93.16,,,4.42,88.74,2026,9,2026-09-10 10:37:54.228745
55e8dc40-9bf0-5d61-11ac-0c76e06ced8c,,4ee18854-e188-6671-a365-10bc0d1899ab,G-105,Barn-G3,63,Brown,2220.66,168.94,13.14,168.94,,,3.77,165.17,2026,33,2026-09-10 10:37:54.228745
1da45e02-cfcd-7bd6-48af-eed2c197cae8,,6dec7c86-6cb1-3e94-399b-8bf85d1956a7,G-105,Barn-F5,90,Brown,2666.52,218.93,12.18,218.93,2.82,0.94,,215.17,2026,8,2026-09-10 10:37:54.228745
4d040862-de03-3333-2f7c-a606e32c19e4,,04fa314f-4d3d-65a0-8981-7872cd715c69,G-121,Barn-A5,22,Brown,2536.35,51.85,48.92,51.85,,,5.22,46.63,2026,47,2026-09-10 10:37:54.228745
a8778c8d-6226-ce53-ca40-ca4c2621aac2,,4ee18854-e188-6671-a365-10bc0d1899ab,G-104,Barn-G1,31,White,1550.86,208.91,7.42,208.91,,,2.92,205.99,2026,50,2026-09-10 10:37:54.228745
3f511ce7-67c7-46e6-0e97-dcd650a1b1f3,,4ee18854-e188-6671-a365-10bc0d1899ab,G-115,Barn-E3,89,White,3922.65,107.97,36.33,107.97,,,4.11,103.86,2026,13,2026-09-10 10:37:54.228745
866a720f-ec3e-f7c7-bfd7-6e42fea37cf6,,4a2a3e41-f835-9314-d263-3d6da014c5d4,G-122,Barn-F3,73,White,809.94,151.07,5.36,151.07,3.97,2.58,,144.52,2026,16,2026-09-10 10:37:54.228745
005c3267-ace5-25ba-2b31-2aa34ba20f83,,6dec7c86-6cb1-3e94-399b-8bf85d1956a7,G-123,Barn-G1,47,White,1263.07,186.25,6.78,186.25,0.83,1.12,,184.3,2026,5,2026-09-10 10:37:54.228745
282a24c8-a053-89ea-63d6-7fda4151c9d7,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-105,Barn-F2,56,Mostly White,1975.09,158.11,12.49,158.11,0.59,0.17,,157.35,2026,39,2026-09-10 10:37:54.228745
8bf2c0d2-79ab-7fe7-9c79-47f07d8328a5,,04fa314f-4d3d-65a0-8981-7872cd715c69,G-107,Barn-G4,72,Mostly Brown,3981.53,146.42,27.19,146.42,2.57,2.95,,140.9,2026,22,2026-09-10 10:37:54.228745
aeadfeea-c8dd-dd1d-2028-b99127c4e031,,042cb50c-49e9-4266-d15e-f9e89f12c805,G-101,Barn-F5,26,Brown,3573.06,142.0,25.16,142.0,,,1.8,140.2,2026,12,2026-09-10 10:37:54.228745
7d04013f-5e2a-e6c9-4764-6c9e34871dde,,97675669-92a4-f344-0165-f5ddf27efe1f,G-113,Barn-H2,46,Mostly White,1845.13,195.36,9.44,195.36,,,4.8,190.56,2026,40,2026-09-10 10:37:54.228745
f228f801-0066-4c4d-a66b-c7ff597fbce1,,7aecec81-2c07-4a42-f2a5-5c0ca8f399f8,G-120,Barn-A2,61,White,2140.49,101.41,21.11,101.41,,,5.9,95.51,2026,20,2026-09-10 10:37:54.228745
282e989f-3845-abe3-d3f3-971fc313ed66,,d4a7163b-faa2-ac82-d733-291edba947cb,G-127,Barn-F1,18,Brown,1703.42,140.2,12.15,140.2,,,1.35,138.85,2026,9,2026-09-10 10:37:54.228745
5e1b066e-f874-ff34-9611-0b6e65718c12,,feb9a31c-af0a-96c8-bc93-5110cb477e85,G-127,Barn-F6,64,White,2319.49,73.78,31.44,73.78,1.56,1.93,,70.29,2026,22,2026-09-10 10:37:54.228745
5941724b-4b91-3182-ec6a-4502ab0cca3f,,211d941d-9b98-fcfa-363d-1000b27bebf3,G-123,Barn-E1,25,Brown,3797.99,70.25,54.06,70.25,,,5.21,65.04,2026,16,2026-09-10 10:37:54.228745
6ab84e7f-d779-cba1-8291-064c8329121e,,7aecec81-2c07-4a42-f2a5-5c0ca8f399f8,G-119,Barn-E3,23,Mostly Brown,1671.7,43.52,38.41,43.52,1.53,1.61,,40.38,2026,22,2026-09-10 10:37:54.228745
db342d5b-e019-0554-cc2a-1354d3fc8c97,,a5336e83-ebc9-d083-4b2f-d3fba64108e7,G-109,Barn-E1,22,Mostly White,919.5,179.12,5.13,179.12,,,5.19,173.93,2026,17,2026-09-10 10:37:54.228745
