REPORTING_YEAR,REPORTING_WEEK,GRADER_NUMBER,BARN_IDENTITY,FLOCK_AGE,EGG_COLOUR,NET_WEIGHT,NET_BOXES,NET_PER_BOX,TOTAL_RECEIVED,REJECTED,LOSS,LEGACY_REJECT_LOSS_TOTAL,TOTAL_ACCEPTED
2025,41,G-103,Barn-B5,72,White,1156.26,173.48,6.67,173.48,0.98,0.42,,172.08
2025,2,G-122,Barn-G2,75,Mostly White,1099.82,81.88,13.43,81.88,2.41,1.68,,77.79
2025,52,G-108,Barn-C2,61,White,3581.76,176.59,20.28,176.59,0.64,1.27,,174.68
2025,6,G-101,Barn-H5,33,Mostly Brown,2015.77,104.62,19.27,104.62,1.38,0.79,,102.45
2025,6,G-118,Barn-D6,26,White,2566.53,189.29,13.56,189.29,2.47,2.59,,184.23
2025,43,G-103,Barn-G3,76,Mostly White,1529.27,92.09,16.61,92.09,0.32,0.7,,91.07
2025,11,G-120,Barn-B5,39,Brown,1984.58,77.71,25.54,77.71,1.07,2.81,,73.83
2025,11,G-107,Barn-F1,47,White,2279.23,88.59,25.73,88.59,3.7,2.06,,82.83
2025,52,G-128,Barn-F2,81,Mostly Brown,1809.45,88.19,20.52,88.19,0.84,2.83,,84.52
2025,42,G-108,Barn-G5,69,Mostly White,2268.33,87.68,25.87,87.68,0.99,1.68,,85.01
2025,15,G-127,Barn-B2,38,Mostly Brown,3991.44,64.9,61.5,64.9,1.97,2.27,,60.66
2025,39,G-117,Barn-A6,32,Mostly White,1003.29,108.69,9.23,108.69,3.98,1.59,,103.12
2025,50,G-130,Barn-E5,40,White,2851.08,60.08,47.45,60.08,1.74,1.36,,56.98
2025,41,G-124,Barn-C5,85,White,1755.02,155.01,11.32,155.01,2.44,0.46,,152.11
2025,39,G-126,Barn-E2,25,Brown,1837.3,43.51,42.23,43.51,3.72,2.64,,37.15
2025,37,G-124,Barn-C2,78,Brown,3830.24,55.42,69.11,55.42,1.94,0.21,,53.27
2025,17,G-124,Barn-D6,57,Mostly Brown,2488.56,149.19,16.68,149.19,3.86,2.79,,142.54
2025,43,G-107,Barn-B3,20,Brown,2879.61,118.86,24.23,118.86,2.07,0.36,,116.43
2025,38,G-128,Barn-A3,27,Brown,1504.7,52.78,28.51,52.78,2.52,0.69,,49.57
2025,18,G-118,Barn-H2,78,Mostly Brown,2940.73,78.56,37.43,78.56,0.53,2.81,,75.22
2025,13,G-127,Barn-A6,30,White,1101.84,158.62,6.95,158.62,1.42,1.23,,155.97
2025,26,G-117,Barn-H2,72,Brown,3130.28,184.11,17.0,184.11,0.44,0.57,,183.1
2025,18,G-127,Barn-B1,87,White,2280.41,197.41,11.55,197.41,0.3,2.42,,194.69
2025,6,G-106,Barn-G1,39,Mostly Brown,3764.37,192.77,19.53,192.77,0.67,1.46,,190.64
2025,1,G-113,Barn-H2,42,Mostly White,3952.99,87.74,45.05,87.74,3.14,1.37,,83.23
