SIZE_BREAKDOWN_ID,PRODUCTION_ID,SIZE_BAND,QUANTITY
00290f12-1a3a-8bee-f515-f5fb060e9290,cd6a4292-f27b-aaf9-89bc-15a5956f5c71,Extra Large,24.71
8bf3baeb-b94e-ba88-7b47-0af1cad08bec,cd6a4292-f27b-aaf9-89bc-15a5956f5c71,Large,25.87
6d7db5ab-914c-2672-50c9-b05be613b789,cd6a4292-f27b-aaf9-89bc-15a5956f5c71,Medium,20.44
c30bc4be-9339-f45d-8ecb-5aa85787a913,cd6a4292-f27b-aaf9-89bc-15a5956f5c71,PeeWee,22.85
9acaae63-6aaa-3f2b-c5e8-39111c32822d,78815491-27f6-e649-5c41-c3db7a8efdeb,Jumbo,8.72
cf59aaeb-c5df-20d4-e10f-f4f8494c283b,78815491-27f6-e649-5c41-c3db7a8efdeb,Extra Large,25.65
7c43186c-613e-fb37-3503-9b58d7681ff5,78815491-27f6-e649-5c41-c3db7a8efdeb,Large,27.75
26321ed4-8edb-e8d4-ecfe-c3d1fc40f9cc,78815491-27f6-e649-5c41-c3db7a8efdeb,Medium,3.0
f3a743a5-cc68-eb2d-a369-3405b54baaab,55e8dc40-9bf0-5d61-11ac-0c76e06ced8c,Jumbo,32.95
58911eb4-361b-ffb0-3e36-878593b114f4,55e8dc40-9bf0-5d61-11ac-0c76e06ced8c,Extra Large,39.28
2f1bac51-b119-1146-dde7-9a18f5493428,55e8dc40-9bf0-5d61-11ac-0c76e06ced8c,Large,6.89
8703c2e9-5813-fd80-91d2-b2a4c8fc88c4,55e8dc40-9bf0-5d61-11ac-0c76e06ced8c,Medium,27.48
1131b1b5-6a00-7e9b-1f54-0558a71274da,55e8dc40-9bf0-5d61-11ac-0c76e06ced8c,PeeWee,25.84
913cff58-9048-73ec-741e-8ae1873d05d9,1da45e02-cfcd-7bd6-48af-eed2c197cae8,Jumbo,8.07
0fad1b39-b655-8dee-3c08-46569f3e8e4b,1da45e02-cfcd-7bd6-48af-eed2c197cae8,Extra Large,9.9
c32e75da-946b-0b0a-8cc8-192b26b55b62,1da45e02-cfcd-7bd6-48af-eed2c197cae8,PeeWee,74.81
23c03d18-9900-4bb5-7d3f-d31cc27d551a,4d040862-de03-3333-2f7c-a606e32c19e4,Jumbo,7.82
f760a712-c36f-1de4-85a9-fdc8905db44f,4d040862-de03-3333-2f7c-a606e32c19e4,Extra Large,12.01
f0900287-759f-d591-abc2-7d201922b491,4d040862-de03-3333-2f7c-a606e32c19e4,Large,1.72
8f692f11-f68a-d336-0616-b53ceb30f13a,4d040862-de03-3333-2f7c-a606e32c19e4,Medium,6.37
f06fa7e6-fa24-4b3a-1768-f93ea1ecaf71,4d040862-de03-3333-2f7c-a606e32c19e4,Small,7.11
35ea97b8-411c-2055-4495-fc3fce9e430f,4d040862-de03-3333-2f7c-a606e32c19e4,PeeWee,11.6
948da8ad-27c0-35b8-0e05-7a6dacaba24b,a8778c8d-6226-ce53-ca40-ca4c2621aac2,Jumbo,12.88
1a3deb6c-4b41-1343-41fa-137fdc21a54b,a8778c8d-6226-ce53-ca40-ca4c2621aac2,Large,40.96
8e06c5ff-5020-1792-435a-9af883636155,a8778c8d-6226-ce53-ca40-ca4c2621aac2,PeeWee,38.88
8eeda326-9df2-7e7d-763a-3bf5eae0c1e4,3f511ce7-67c7-46e6-0e97-dcd650a1b1f3,Jumbo,22.07
13f36476-9fb6-ab87-2e74-4807edda29e9,3f511ce7-67c7-46e6-0e97-dcd650a1b1f3,Extra Large,16.6
003172e4-639c-e6de-8f68-b95c12a21e14,3f511ce7-67c7-46e6-0e97-dcd650a1b1f3,Large,10.05
bb0a3060-5f8a-0eaa-a139-01cf7482fe69,3f511ce7-67c7-46e6-0e97-dcd650a1b1f3,Medium,23.18
6b98286b-ca1c-9a91-1606-81fb1a23b63b,3f511ce7-67c7-46e6-0e97-dcd650a1b1f3,Small,14.85
9e068c11-da17-18ca-1ab0-f84e8cedce5c,3f511ce7-67c7-46e6-0e97-dcd650a1b1f3,PeeWee,17.12
a638bfde-a662-5209-5543-74637cd4a7f1,866a720f-ec3e-f7c7-bfd7-6e42fea37cf6,Jumbo,35.23
ff00ece0-9fec-9b1d-6501-039d079c9692,866a720f-ec3e-f7c7-bfd7-6e42fea37cf6,Extra Large,20.6
81ff07cd-35f5-d36e-a4e1-ad90840b4f1f,866a720f-ec3e-f7c7-bfd7-6e42fea37cf6,Large,18.45
0ffca203-8fe9-6cb7-e9ce-d5851d1df59c,866a720f-ec3e-f7c7-bfd7-6e42fea37cf6,Medium,32.52
df74dd00-96cf-c0ed-01cf-e40a795c3ffc,866a720f-ec3e-f7c7-bfd7-6e42fea37cf6,Small,16.87
107573fa-567d-5678-1b51-ab5ec9983228,866a720f-ec3e-f7c7-bfd7-6e42fea37cf6,PeeWee,20.85
6a2799c1-f636-e9be-1f2d-f05e592b01fd,005c3267-ace5-25ba-2b31-2aa34ba20f83,Large,50.24
1a1719e7-506c-786e-a434-5d221710ceac,005c3267-ace5-25ba-2b31-2aa34ba20f83,Medium,8.12
f8e690d7-efbb-90ab-5488-7a0bf68b7f3a,005c3267-ace5-25ba-2b31-2aa34ba20f83,PeeWee,42.38
706a4c63-a34a-3e09-6ced-8d9084fcac59,282a24c8-a053-89ea-63d6-7fda4151c9d7,Jumbo,30.87
f038fe73-9983-dade-0c8f-f8d553913206,282a24c8-a053-89ea-63d6-7fda4151c9d7,Extra Large,28.65
1fc09a95-9532-84f4-c5fa-43cc70687298,282a24c8-a053-89ea-63d6-7fda4151c9d7,Large,25.06
0f1b6ea6-e947-f7e2-bd20-82c66fe969b1,282a24c8-a053-89ea-63d6-7fda4151c9d7,Medium,34.66
84340238-b158-b490-7998-d3ee849895e8,282a24c8-a053-89ea-63d6-7fda4151c9d7,Small,17.06
1295522a-4a00-cc5d-c62b-8ce129f019bf,282a24c8-a053-89ea-63d6-7fda4151c9d7,PeeWee,21.05
f6dec370-33d0-5098-2234-42035ee5322c,8bf2c0d2-79ab-7fe7-9c79-47f07d8328a5,Jumbo,29.71
fd621dba-d05b-1217-bddf-c93fcbe3deae,8bf2c0d2-79ab-7fe7-9c79-47f07d8328a5,Extra Large,35.45
3acf42c1-7da4-aad1-e971-b305b07f9658,8bf2c0d2-79ab-7fe7-9c79-47f07d8328a5,Large,13.44
16b6085b-852b-ee82-5de9-07d26ad48618,8bf2c0d2-79ab-7fe7-9c79-47f07d8328a5,Medium,25.91
fe71332f-1079-addd-444d-61a87921408b,8bf2c0d2-79ab-7fe7-9c79-47f07d8328a5,Small,33.56
96234174-a57e-f122-ac4a-5b6d09d05257,aeadfeea-c8dd-dd1d-2028-b99127c4e031,Jumbo,40.62
9ca65d9b-dd4c-89fa-8634-7e25d83027e3,aeadfeea-c8dd-dd1d-2028-b99127c4e031,Extra Large,22.09
c358b0a5-e49f-dd0c-6229-84be0c9c27ba,aeadfeea-c8dd-dd1d-2028-b99127c4e031,Medium,3.14
b6dd44be-99f7-c7eb-4dd5-b08210b5541f,aeadfeea-c8dd-dd1d-2028-b99127c4e031,PeeWee,35.98
f0339daa-5f9d-aabf-6ba0-cf70f294620a,7d04013f-5e2a-e6c9-4764-6c9e34871dde,Jumbo,7.81
07a07df1-4bb2-7b10-2d29-ed0160a1f0a6,7d04013f-5e2a-e6c9-4764-6c9e34871dde,Extra Large,62.52
3909aa7a-8fa7-fe27-2040-604b30fec926,7d04013f-5e2a-e6c9-4764-6c9e34871dde,Large,33.84
bbc9caa1-940c-4c67-6c4c-1de4b503b56f,7d04013f-5e2a-e6c9-4764-6c9e34871dde,Small,25.56
967808f2-bb22-471d-d029-7aaa3dd13b73,f228f801-0066-4c4d-a66b-c7ff597fbce1,Jumbo,15.59
f1f42185-ee6c-23f8-dab0-b4009cb56617,f228f801-0066-4c4d-a66b-c7ff597fbce1,Small,19.23
d93b674b-3b31-c362-ee12-b6a725570466,f228f801-0066-4c4d-a66b-c7ff597fbce1,PeeWee,10.45
03466c28-2ef8-a691-9b06-7028732020b9,282e989f-3845-abe3-d3f3-971fc313ed66,Jumbo,7.53
8e43ff29-5ffc-1257-57ee-7894687534be,282e989f-3845-abe3-d3f3-971fc313ed66,Extra Large,33.07
d3e860e4-d50a-67bf-64fc-2dd34eab3005,282e989f-3845-abe3-d3f3-971fc313ed66,Large,23.23
6473147b-77a5-5d0c-2442-b2da44cb1fac,282e989f-3845-abe3-d3f3-971fc313ed66,Small,24.37
